shell,n_in_shell,r_mpc,phi_tick,theta_tick,omega,trichter_depth,x,y,z,alpha,delta_phi_tick
8,13,4000.0,119085.33892915072,29012.868977869923,0.20958521983855138,0.058815841271515235,3444.467474663544,-1925.6310260284074,640.4419265428918,1.5,0.0
8,13,4000.0,61029.33892915072,32643.925493553776,0.20958521983855138,0.058815841271515235,-3933.0742286207,727.1104510171248,-46.328521161075784,1.5,0.0
8,13,4000.0,33432.33892915072,28446.634467195167,0.20958521983855138,0.058815841271515235,-196.44887294011653,3921.8369427602393,746.2873593695197,1.5,0.0
8,13,4000.0,99126.33892915072,39463.90583479321,0.20958521983855138,0.058815841271515235,351.3614722735309,-3751.2962079421663,-1315.598946314776,1.5,0.0
8,13,4000.0,8584.33892915072,26966.646644828696,0.20958521983855138,0.058815841271515235,3532.3607256181554,1561.3002900548377,1020.0821877620194,1.5,0.0
8,13,4000.0,16249.33892915072,25027.552034155728,0.20958521983855138,0.058815841271515235,2643.325878985841,2656.001994992005,1370.6490474265654,1.5,0.0
9,13,4500.0,55757.33786216052,32705.505438260472,0.185000150325499,0.07404736221195235,-4073.995921292091,1910.0039815045016,-64.92120911817041,1.5,0.0
9,13,4500.0,64646.33786216052,29418.050639658846,0.185000150325499,0.07404736221195235,-4452.932846835841,33.17385316123574,631.4950280880253,1.5,0.0
9,13,4500.0,82310.33786216052,36806.60140019801,0.185000150325499,0.07404736221195235,-2905.955630543907,-3300.7821637705647,-929.3485782132876,1.5,0.0
9,13,4500.0,21952.337862160522,35018.91246331773,0.185000150325499,0.07404736221195235,2165.53189096514,3903.302711230405,-555.0562687468525,1.5,0.0
9,13,4500.0,24933.337862160522,30353.255207754104,0.185000150325499,0.07404736221195235,1585.7893659064316,4187.664768412578,434.2444611028571,1.5,0.0
9,13,4500.0,45561.33786216052,25830.36002259655,0.185000150325499,0.07404736221195235,-2545.629236343,3432.7878962713903,1372.6418660575875,1.5,0.0
9,13,4500.0,11883.337862160522,36397.99170385422,0.185000150325499,0.07404736221195235,3702.9563325143836,2405.579989242139,-844.3113919196239,1.5,0.0
9,13,4500.0,37706.33786216052,28551.86035795041,0.185000150325499,0.07404736221195235,-1125.0686509411992,4276.393673585294,813.0403525264603,1.5,0.0
9,13,4500.0,122941.33786216052,39476.37303864722,0.185000150325499,0.07404736221195235,4018.86046364128,-1344.4020553591902,-1474.488095089994,1.5,0.0
9,13,4500.0,5917.3378621605225,28203.723315092095,0.185000150325499,0.07404736221195235,4227.080141352951,1247.0680684741158,885.6206159291662,1.5,0.0
9,13,4500.0,11768.337862160522,26288.678505066073,0.185000150325499,0.07404736221195235,3622.211706032529,2324.5105263516903,1279.8111258487866,1.5,0.0
9,13,4500.0,54876.33786216052,37764.02528842348,0.185000150325499,0.07404736221195235,-3855.029909484304,2012.4257188817173,-1127.114754604245,1.5,0.0
9,13,4500.0,12112.337862160522,26783.205929316806,0.185000150325499,0.07404736221195235,3608.1337724816676,2401.3600201455406,1178.9390598750485,1.5,0.0
10,13,5000.0,75291.70479016518,32412.007216477945,0.16528515334298902,0.09088040577978629,-4367.0076553055405,-2435.002190292354,-2.818049473841641,1.5,0.0
10,13,5000.0,1747.7047901651822,26631.139541330263,0.16528515334298902,0.09088040577978629,4788.4753420957395,406.70663969194817,1336.3480552672595,1.5,0.0
10,13,5000.0,26104.704790165182,24525.767860872864,0.16528515334298902,0.09088040577978629,1394.2847019773055,4425.625745984925,1803.4914216221607,1.5,0.0
10,13,5000.0,56194.70479016518,28020.427685981456,0.16528515334298902,0.09088040577978629,-4468.488611123973,1980.4972929194603,1020.1636905771768,1.5,0.0
10,13,5000.0,71816.70479016518,26435.519928141643,0.16528515334298902,0.09088040577978629,-4517.779936521214,-1599.0175777131115,1380.414538414245,1.5,0.0
10,13,5000.0,91857.70479016518,35278.07051252829,0.16528515334298902,0.09088040577978629,-1268.1329353469503,-4786.256831185636,-673.2828764636162,1.5,0.0
10,13,5000.0,113918.70479016518,26273.686574982203,0.16528515334298902,0.09088040577978629,3464.670449530296,-3294.6543671262493,1416.7764465424207,1.5,0.0
10,13,5000.0,3971.704790165182,32502.544892254256,0.16528515334298902,0.09088040577978629,4907.533092746179,956.8181902754261,-24.066810665542,1.5,0.0
10,13,5000.0,14867.704790165182,35547.05145741476,0.16528515334298902,0.09088040577978629,3712.7310968123666,3261.619818826273,-735.7391539171648,1.5,0.0
10,13,5000.0,18731.704790165182,33714.08906937862,0.16528515334298902,0.09088040577978629,3069.8305498462764,3933.80314833708,-308.203292180871,1.5,0.0
10,13,5000.0,107858.70479016518,27536.36555689293,0.16528515334298902,0.09088040577978629,2401.923738761507,-4226.859750967181,1130.9289075535132,1.5,0.0
10,13,5000.0,79265.70479016518,37326.81732415265,0.16528515334298902,0.09088040577978629,-3711.5107750375428,-3134.528586811887,-1145.342038588688,1.5,0.0
10,13,5000.0,20040.704790165182,35889.59549977598,0.16528515334298902,0.09088040577978629,2779.6324078064736,4069.999337921038,-815.0939622586952,1.5,0.0
11,13,5500.0,112729.16903314926,32215.06153469484,0.14915002372898337,0.10925425828237034,3760.417790923315,-4013.3310719441024,47.427054509669055,1.5,0.0
11,13,5500.0,127317.16903314926,35038.400246770034,0.14915002372898337,0.10925425828237034,5421.691160430292,-602.5064394931485,-674.7772757421149,1.5,0.0
11,13,5500.0,82553.16903314926,39781.09676416092,0.14915002372898337,0.10925425828237034,-3358.367769979595,-3906.442499938904,-1852.7503770021729,1.5,0.0
11,13,5500.0,93824.16903314926,28940.42887548929,0.14915002372898337,0.10925425828237034,-883.5682675177546,-5350.352931881426,883.0572109799664,1.5,0.0
11,13,5500.0,3766.1690331492573,39281.89655485484,0.14915002372898337,0.10925425828237034,5110.318897802152,943.5976601608476,-1732.3086535545576,1.5,0.0
11,13,5500.0,43006.16903314926,24702.723760457353,0.14915002372898337,0.10925425828237034,-2518.9384934339328,4459.1827219575225,1928.4779173465358,1.5,0.0
