shell,r_mpc,n_in_shell,fill,alpha,omega_base,omega_eff,trichter_depth,drift_ticks
184,92000.0,13,1.0,1.5,0.002479598074633275,0.006198995186583188,1.4999999990307853,96406.77314174174
185,92500.0,13,1.0,1.5,0.0024642285827725288,0.006160571456931322,1.4999999992304074,95809.2072981959
186,93000.0,13,1.0,1.5,0.002449036211758979,0.006122590529397448,1.4999999993896782,95218.52791318911
187,93500.0,13,1.0,1.5,0.002434017987349272,0.00608504496837318,1.4999999995165918,94634.6193481397
188,94000.0,13,1.0,1.5,0.002419171000743976,0.00604792750185994,1.4999999996175928,94057.36850892579
189,94500.0,13,1.0,1.5,0.0024044924068101657,0.006011231017025415,1.4999999996978688,93486.66477677926
190,95000.0,13,1.0,1.5,0.0023899794223613442,0.0059749485559033606,1.4999999997615914,92922.39994140906
191,95500.0,13,1.0,1.5,0.002375629324492569,0.005939073311231422,1.4999999998121092,92364.46813627108
192,96000.0,13,1.0,1.5,0.002361439448968729,0.005903598622421822,1.4999999998521074,91812.76577590416
193,96500.0,13,1.0,1.5,0.0023474071886640103,0.005868517971660026,1.4999999998837363,91267.19149525673
194,97000.0,13,1.0,1.5,0.002333529992050676,0.0058338249801266895,1.499999999908715,90727.64609093027
195,97500.0,13,1.0,1.5,0.0023198053617353486,0.005799513404338371,1.4999999999284168,90194.03246427035
196,98000.0,13,1.0,1.5,0.0023062308530410764,0.005765577132602691,1.4999999999439364,89666.25556623706
197,98500.0,13,1.0,1.5,0.0022928040726335206,0.005732010181583801,1.4999999999561462,89144.22234399128
198,99000.0,13,1.0,1.5,0.0022795226771896815,0.005698806692974204,1.4999999999657398,88627.84168913482
199,99500.0,13,1.0,1.5,0.002266384372107636,0.00566596093026909,1.499999999973268,88117.0243875449
200,100000.0,13,1.0,1.5,0.0022533869102558243,0.005633467275639561,1.4999999999791682,87611.68307074647
201,100500.0,13,1.0,1.5,0.0022405280907604875,0.005601320226901219,1.4999999999837863,87111.73216876776
202,101000.0,13,1.0,1.5,0.0022278057578299067,0.005569514394574766,1.4999999999873963,86617.08786442677
203,101500.0,13,1.0,1.5,0.002215217799614152,0.00553804449903538,1.499999999990215,86127.66804899822
204,102000.0,13,1.0,1.5,0.002202762147099103,0.005506905367747757,1.4999999999924125,85643.39227921313
205,102500.0,13,1.0,1.5,0.0021904367730335443,0.005476091932583861,1.499999999994124,85164.1817355442
206,103000.0,13,1.0,1.5,0.0021782396908881976,0.005445599227220494,1.4999999999954552,84689.95918173312
207,103500.0,13,1.0,1.5,0.0021661689538455845,0.005415422384613962,1.499999999996489,84220.64892551633
208,104000.0,13,1.0,1.5,0.002154222653819672,0.00538555663454918,1.4999999999972913,83756.17678050886
209,104500.0,13,1.0,1.5,0.002142398920504271,0.005355997301260677,1.4999999999979128,83296.47002920606
210,105000.0,13,1.0,1.5,0.0021306959204492304,0.005326739801123076,1.4999999999983937,82841.45738706608
211,105500.0,13,1.0,1.5,0.0021191118561634686,0.005297779640408671,1.4999999999987654,82391.06896763566
212,106000.0,13,1.0,1.5,0.002107644965243956,0.00526911241310989,1.499999999999052,81945.23624868502
213,106500.0,13,1.0,1.5,0.0020962935195297677,0.005240733798824419,1.4999999999992732,81503.89203931736
214,107000.0,13,1.0,1.5,0.0020850558242803802,0.005212639560700951,1.4999999999994436,81066.9704480212
215,107500.0,13,1.0,1.5,0.0020739302173774033,0.005184825543443508,1.4999999999995743,80634.40685163344
216,108000.0,13,1.0,1.5,0.0020629150685489745,0.005157287671372436,1.499999999999675,80206.13786518412
217,108500.0,13,1.0,1.5,0.0020520087786160737,0.005130021946540184,1.499999999999752,79782.10131259296
218,109000.0,13,1.0,1.5,0.002041209778760037,0.005103024446900093,1.499999999999811,79362.23619819025
219,109500.0,13,1.0,1.5,0.002030516529810583,0.005076291324526458,1.4999999999998561,78946.48267903547
220,110000.0,13,1.0,1.5,0.0020199275215536886,0.0050498188038842215,1.4999999999998908,78534.78203800743
221,110500.0,13,1.0,1.5,0.0020094412720586667,0.005023603180146666,1.499999999999917,78127.07665764095
222,111000.0,13,1.0,1.5,0.0019990563270238363,0.004997640817559591,1.499999999999937,77723.30999468676
223,111500.0,13,1.0,1.5,0.001988771259140188,0.00497192814785047,1.4999999999999525,77323.42655537052
224,112000.0,13,1.0,1.5,0.0019785846674724703,0.004946461668681176,1.499999999999964,76927.37187132964
225,112500.0,13,1.0,1.5,0.001968495176857149,0.004921237942142873,1.499999999999973,76535.09247620596
226,113000.0,13,1.0,1.5,0.0019585014373167016,0.004896253593291754,1.4999999999999796,76146.53588287336
227,113500.0,13,1.0,1.5,0.0019486021234897408,0.004871505308724352,1.4999999999999845,75761.65056128112
228,114000.0,13,1.0,1.5,0.0019387959340764625,0.004846989835191156,1.4999999999999885,75380.38591689286
229,114500.0,13,1.0,1.5,0.001929081591298952,0.00482270397824738,1.4999999999999911,75002.69226970326
230,115000.0,13,1.0,1.5,0.0019194578403758807,0.004798644600939702,1.4999999999999936,74628.52083381424
231,115500.0,13,1.0,1.5,0.0019099234490111486,0.0047748086225278714,1.4999999999999951,74257.82369755345
232,116000.0,13,1.0,1.5,0.0019004772068960483,0.004751193017240121,1.4999999999999964,73890.55380411836
233,116500.0,13,1.0,1.5,0.0018911179252245355,0.004727794813061339,1.4999999999999971,73526.66493272994
234,117000.0,13,1.0,1.5,0.001881844436221204,0.0047046110905530104,1.499999999999998,73166.11168028042
235,117500.0,13,1.0,1.5,0.001872655592681581,0.004681638981703953,1.4999999999999984,72808.84944345988
236,118000.0,13,1.0,1.5,0.0018635502675243727,0.004658875668810932,1.499999999999999,72454.83440134762
237,118500.0,13,1.0,1.5,0.001854527353355296,0.00463631838338824,1.4999999999999991,72104.0234984539
238,119000.0,13,1.0,1.5,0.0018455857620421569,0.004613964405105392,1.4999999999999993,71756.37442819905
239,119500.0,13,1.0,1.5,0.0018367244243008272,0.004591811060752068,1.4999999999999996,71411.84561681616
240,120000.0,13,1.0,1.5,0.0018279422892918105,0.004569855723229526,1.4999999999999996,71070.39620766559
